Name ( ENG );Latin;Non-Latin;Author;Description;Cover (image file)
Pain, Pain, Go Away;Itai no Itai no, Tonde Yuke;いたいのいたいの、とんでゆけ;Sugaru Miaki (三秋縋);"The story follows a 22-year-old young man who, in the fall, finds himself abandoned by everything and completely alone. In a tragic turn of events, he becomes a murderer. The girl he killed, however, possesses a unique ability: she can ""postpone"" the moment of her death, granting herself a ten-day reprieve.

During these precious ten days, she decides to dedicate her time to getting revenge on those who ruined her life, and she demands that the young man help her. As they carry out her revenge, they unknowingly draw closer to the truth hidden behind their first encounter—a truth tied to memories that are both sad and warm. The novel is a psychological story exploring a twisted, unhealthy romance between the narrator and the girl.";https://drive.google.com/file/d/1h5UQSt_u7P1Wj4t9P_aHpCujUqlzg3pq/view?usp=drive_link
Parasite in Love;Koisuru Kiseichuu;恋する寄生虫;Sugaru Miaki (三秋缒);"The story follows two social outcasts: Kengo Kosaka, an unemployed young man whose severe mysophobia (fear of contamination) makes it impossible for him to work or maintain relationships; and Hijiri Sanagi, a high school girl who refuses to attend school due to her debilitating social anxiety and love of insects.

When a mysterious man blackmails Kengo into befriending and looking after Hijiri, the two initially clash. However, as they spend time together and support each other in their rehabilitation back into society, they gradually find a kindred spirit in one another and fall in love.

But there's a horrifying catch: the parasites in their heads. The novel explores whether their feelings are genuine or merely a result of the parasites' influence, weaving a darkly philosophical romance about mental illness, isolation, and the nature of love. The single-volume light novel was published in 2016 and was adapted into a live-action film in 2021.";https://drive.google.com/file/d/1xnmU6qxVuS-HBMA3Wxcdp_YcQy0zeAsN/view?usp=drive_link
Rascal Does Not Dream of Bunny Girl Senpai;Seishun Buta Yarō wa Banī Gāru Senpai no Yume o Minai;青春ブタ野郎はバニーガール先輩の夢を見ない;Hajime Kamoshida (鴨志田一);"The story follows Sakuta Azusagawa, a blunt and sarcastic high school student who one day encounters Mai Sakurajima, a beautiful upperclassman and former child actress. She is wandering through the library in a bunny girl outfit—but strangely, no one else can see her. This is caused by a mysterious phenomenon known as ""Adolescence Syndrome"" (思春期症候群), a supernatural condition where intense emotional or social pressures manifest as bizarre physical or perceptual effects. Examples include invisibility, time loops, and body swapping.

After helping Mai resolve her syndrome, Sakuta finds himself entangled in the supernatural and psychological issues of several other girls, each struggling with their own adolescent anxieties. These include a junior facing a time loop, a science nerd splitting into two versions of herself, and his sister coping with identity problems and amnesia following severe bullying.

The series is a poignant blend of romance, psychological drama, and supernatural mystery, set against the scenic backdrop of coastal Kanagawa. It is praised for its witty dialogue, emotional depth, and creative use of supernatural metaphors for real teenage struggles.";https://drive.google.com/file/d/1uaN52_-kB_1UnAH-K_Xda_eGxvYxkJf0/view?usp=drive_link
Re:Zero − Starting Life in Another World;Re:Zero kara Hajimeru Isekai Seikatsu;ゼロから始める異世界生活;Tappei Nagatsuki (長月達平);"The story centers on Subaru Natsuki, a self-proclaimed hikikomori (shut-in) high school student who is suddenly transported to a fantasy world on his way home from a convenience store.

Initially believing he's been summoned as a typical hero, he quickly realizes he has no special powers or abilities in this new world. Soon after arriving, he and a silver-haired half-elf girl named Emilia are brutally attacked and killed. However, Subaru awakens to find himself back where he started, at the moment of his arrival. He discovers he has been granted a single, terrifying ability: ""Return by Death,"" which sends him back in time to a ""save point"" whenever he dies.

The series follows Subaru's desperate struggle to survive and save the people he cares about, using his power to repeat events, gather information, and slowly overcome seemingly impossible tragedies. It is a dark and psychological isekai (other world) story that explores themes of trauma, perseverance, and the meaning of heroism.";https://drive.google.com/file/d/1a8griICk8Kz8JPSjad1zBQugCjZ3FUDV/view?usp=drive_link
Starting Over;Sutātingu Ōvā;スターティング・オーヴァー;Sugaru Miaki (三秋縋);"The story begins when the protagonist, on his twentieth birthday, dies in a car accident with his girlfriend. He then wakes up as a ten-year-old on Christmas Day, given the chance to restart his life from scratch.

However, unlike most time-travel stories, the protagonist has no regrets. His first life was so happy that he wishes for nothing more than to recreate it perfectly. Despite his best efforts, small, unavoidable differences begin to appear, and his second life spirals downward.

The crisis comes when, at eighteen, he meets his ""doppelganger""—a version of himself who is flawlessly living out the happy first life he lost. The novel explores the psychological consequences of this encounter and the ultimate choice he must make on Christmas Eve of his twentieth year. It is a single-volume story that questions whether our past mistakes are what truly make us who we are.";https://drive.google.com/file/d/1eHR6Y8zXZakkUW8nGv45m9J_gW7CcTO2/view?usp=drive_link
Summer Ghost;Samā Gōsuto;サマーゴースト;"Otsuichi (乙一) — Story; loundraw — Original Concept & Illustration";"The story follows three high school students—Tomoya Sugisaki, Aoi Harukawa, and Ryo Kobayashi—who meet online and are united by a shared, dark secret: each of them is contemplating suicide. They are drawn together by a local urban legend that says the ghost of a young woman who took her own life will appear if you set off fireworks at an abandoned airfield on a summer night.

Desperate for answers about what lies beyond death, the three teenagers decide to summon the ""Summer Ghost"" themselves. To their surprise, they not only meet the ghost, Ayane, but also form a heartwarming friendship with her. On that fateful night when the boundary between life and death grows thin, each of the three must confront their own reasons for wanting to die, and in doing so, they might just find a reason to live. The novel is a poignant and supernatural coming-of-age story about despair, redemption, and the fragile beauty of life.";https://drive.google.com/file/d/1W27WSNSrJiwmbyAS1Lv6kELsSpogCfej/view?usp=drive_link
That Time I Got Reincarnated as a Slime;Tensei Shitara Suraimu Datta Ken;転生したらスライムだった件;Fuse (伏瀬);"The story begins with Satoru Mikami, a 37-year-old ordinary salaryman in Tokyo who is stabbed and murdered by a robber. As he dies, he hears a mysterious voice reciting a series of commands, which results in him being reincarnated in a fantasy world—but not as a powerful warrior. He awakens as a slime, one of the weakest monsters imaginable.

Now renamed Rimuru Tempest, he discovers he has gained two unique skills: ""Predator,"" which allows him to absorb anything and copy its abilities, and ""Great Sage,"" which grants him near-infinite analytical capabilities. Using these powers, Rimuru begins to grow stronger, befriending and absorbing other monsters along the way.

The series follows Rimuru's journey as he builds a nation of monsters from scratch, gathering allies such as the Storm Dragon Veldora, the goblins, and the direwolves. What starts as a humble village in the wilderness evolves into a powerful federation that challenges the established order of humans and demons alike. The light novel series ran from May 30, 2014, to November 29, 2025, with 23 main volumes.";https://drive.google.com/file/d/1QjmVHZlv2m5CPuIUa_X2x9INe2MOBnWC/view?usp=drive_link
The Angel Next Door Spoils Me Rotten;Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken;お隣の天使様にいつの間にか駄目人間にされていた件;Saekisan (佐伯さん);"The story follows Amane Fujimiya, a lonely and stoic high school boy who lives alone in a small apartment. The most beautiful girl in school, Mahiru Shiina—nicknamed the ""Angel"" for her perfect grades, athleticism, and kindness—lives in the apartment right next door. Despite being classmates, they have almost never spoken.

That changes one rainy day when Amane sees Mahiru in distress and lends her his umbrella. To return the favor, she begins helping him around the house—cooking for him, cleaning, and gradually improving his messy lifestyle. As they spend more time together, the distance between them slowly closes, and a sweet, awkward romance begins to blossom";https://drive.google.com/file/d/1mWj9V8dLRK0cOAyfRFwN897qahLnJ8rL/view?usp=drive_link
The Nameless Hero;Namae no Nai Eiyū;名前のない英雄;Gutei Miyashita (宮下愚弟);"This is a fantasy story set in a chaotic era where humanity is locked in a constant war against a ferocious race of monsters known as the ""Jazoku"" (邪族).

The protagonist is a boy living deep in the mountains of the frontier with his younger sister, who suffers from an incurable disease. Desperate to save her, he volunteers for a perilous mission: to serve as a guide for a special task force searching for the lost ""Sword of the Brave"" (勇者の剣). The reward for his service would be his sister's treatment.

However, a girl with a ""magic eye"" who is part of the task force foresees his death, warning him: ""I can see the sign of death on you. If you take on this mission, you will lose your life"".

Despite this grim prophecy, the boy decides to join the mission, determined to do everything for his sister. What starts as a guiding job evolves into a desperate escape as they become targets while carrying the very sword they were sent to find. The series follows this ordinary villager as he risks everything to deliver ""hope"" to the frontline, becoming a ""nameless hero"" whose story will never be recorded in history.";https://drive.google.com/file/d/1XEWOMoC41exWmEM0YPyXljb0XbOt0aPg/view?usp=drive_link
The Pet Girl of Sakurasou;Sakura-sō no Petto na Kanojo;さくら荘のペットな彼女;Hajime Kamoshida (鴨志田一);"The story follows Sorata Kanda, a high school student at Suimei University of the Arts. After he refuses to give up the stray cats he's been taking care of, he is kicked out of the regular dormitory and forced to move into Sakurasou—the school's infamous dormitory for problem students, filled with eccentric and socially awkward residents.

One spring, a beautiful and gifted girl named Mashiro Shiina moves into Sakurasou. She is a world-renowned genius artist, but she is completely helpless in everyday life—unable to even dress or feed herself properly. Sorata is tasked with becoming her ""caretaker,"" looking after her daily needs.

The series follows Sorata's life at Sakurasou alongside Mashiro and other quirky residents. It explores themes of talent vs. hard work, dreams and failures, friendship, and romance, as Sorata struggles with his own feelings of inadequacy compared to the geniuses around him.";https://drive.google.com/file/d/1QvSiwXSdl2ZHhENyXQP0bfGK8tev2Cu1/view?usp=drive_link
The Tunnel to Summer, the Exit of Goodbyes;Natsu e no Tonneru, Sayonara no Deguchi;夏へのトンネル、さよならの出口;Mei Hachimoku (八目迷);"One summer morning, high school student Kaoru Touno hears a rumor about a mysterious place called the ""Urashima Tunnel"" —a passage that can grant any wish to those who enter it, but at a devastating cost: it ages them dramatically in exchange. He dismisses it as an urban legend, but that very night, he stumbles upon the tunnel himself.

Kaoru is haunted by the death of his younger sister five years prior, and he wonders if the tunnel could bring her back. The next day, he returns to investigate, only to discover he has been followed by Anzu, a mysterious and enigmatic new transfer student. She takes an interest in him and they agree to work together to uncover the tunnel's secrets.

The story follows their journey as they explore the time-twisting tunnel, hoping to achieve their deepest desires—but they must also confront the profound question of what they are willing to sacrifice in return. This single-volume, award-winning light novel is a bittersweet sci-fi tale of loss, love, and letting go.";https://drive.google.com/file/d/1HCCn3BZbE5T5EjUlpfCnzVKNBugJCK1j/view?usp=drive_link
There's No Way a Side Character Like Me Could Be Popular, Right?;Yūjin Kyara no Ore ga Motemakuru Wakenai Daro?;友人キャラの俺がモテまくるわけないだろ？;Sekaiichi;"The story follows Yuuki Tomoki, a second-year high school student with a somewhat intimidating appearance—large scars under his eyes and strangely pale skin—which causes everyone to avoid him. His only friend is Ike Haruma, the ""perfect guy"" who is the school's protagonist-type.

One day, Haruma's super popular younger sister, Touka Ike, confesses to Tomoki out of the blue. However, she clarifies that her feelings are anything but romantic and proposes a ""fake lover"" relationship to draw her brother's attention. Tomoki reluctantly agrees as a favor to Haruma.

As soon as he starts this fake relationship with Touka, other popular girls suddenly get involved with him too—including Haruma's idol-tier childhood friend and his super hot teacher. The series is a romantic comedy that follows whether this self-proclaimed ""side character"" can really be this popular.";https://drive.google.com/file/d/19TtYRo44wSGTIMi8ENZihHPYxf3jBGqE/view?usp=drive_link
To Every You I've Loved Before;Boku ga Aishita Subete no Kimi e;僕が愛したすべての君へ;Yomoji Otono (乙野四方字);"The story takes place in a world where people can regularly travel between slightly different parallel universes. The protagonist, Koyomi Takasaki, is an awkward and studious high school student who lives with his mother after his parents' recent divorce. He has trouble making friends at his new school.

One day, his classmate Kazune Takigawa approaches him and makes a startling claim: she has moved to this world from another one, the 85th parallel world, where she and Koyomi are lovers. As their relationship develops, a question arises—could it be that Koyomi is the one who is actually from a parallel world?

This is the first of two parallel novels by the same author, released on the same day. They can be read in either order and together tell one complete story across the multiverse. Both novels inspired two anime films that were simultaneously released in Japan on October 7, 2022.

The English version was published by Seven Seas Entertainment on June 6, 2023.";https://drive.google.com/file/d/11M4W80zkRxCbGOHvkph0UgqJKuQXuCec/view?usp=drive_link
To Me, the One Who Loved You;Kimi wo Aishita Hitori no Boku e;君を愛したひとりの僕へ;Yomoji Otono (乙野四方字);"In a world where traveling between slightly different parallel universes is commonplace, Koyomi Hidaka lives with his father after his parents' recent divorce. One day, he meets a girl named Shiori Sato at his father's workplace and the two fall in love.

However, their young love seems doomed when they discover that their parents are going to remarry—to each other. Determined to be together as lovers rather than step-siblings, Koyomi and Shiori make a drastic decision: they elope to a parallel world where they aren't destined to become brother and sister. But what could be the price if they try to find that world?

This novel is one half of a pair of parallel universe love stories by the same author, released on the same day. It can be read in either order alongside its companion novel, To Every You I've Loved Before, to form a complete narrative across the multiverse. Both novels inspired two anime films that were simultaneously released in Japan on October 7, 2022. The English version was published by Seven Seas Entertainment on June 6, 2023.";https://drive.google.com/file/d/1eyD0OESapVGAOE3lOj7GZdkxoAEPLxRc/view?usp=drive_link
Unnamed Memory;Annēmudo Memorī;アンネームドメモリー;Kuji Furumiya (古宮九時 / 古宫九时);"The story takes place in a fantasy world where people fear the power of witches. Oscar, the crown prince of the powerful kingdom of Farsas, has been cursed since birth with an affliction that prevents him from producing an heir. Determined to break the curse, he travels to the legendary Witch of the Azure Moon, known as the strongest witch in the world—Tinasha.

When they meet, Oscar proposes a marriage alliance, and Tinasha agrees. Together, they face conspiracies that threaten to shake the kingdom, and their relationship gradually transforms the world, altering the balance between witches and humans. The series follows their growing bond as they uncover the truth about the world and its hidden history.";https://drive.google.com/file/d/1aGZHv44MX9G3PlNnw6HZaUWwefgSgktc/view?usp=drive_link
Wait For Me Yesterday in Spring;Kinou no Haru de, Kimi wo Matsu;きのうの春で、君を待つ;Mei Hachimoku (八目迷);"The story follows Kanae, a seventeen-year-old high schooler who, after a difficult time in Tokyo, runs away to his childhood home on the remote island of Sodeshima. There, he reunites with his old friend and first love, Akari.

However, before they can reconnect, a strange phenomenon occurs: Kanae is suddenly and inexplicably thrust four days into the future. He discovers that in the time he's lost, Akito, Akari's older brother and Kanae's childhood hero, has died.

Kanae learns that he is experiencing a phenomenon known as ""Rollback,"" which forces him to relive those four lost days in reverse order. Armed with this knowledge and a desperate desire to save Akito, Kanae is determined to use the time loop to change their fate and mend Akari's broken heart.";https://drive.google.com/file/d/1UKmwAyYql-HQXVnGo3ORQBQgwzWLV78k/view?usp=drive_link
Who Killed the Hero?;Dare ga Yūsha o Koroshita ka;誰が勇者を殺したか;Daken (駄犬);"The story is a fantasy-mystery set in a world where the Hero has already defeated the Demon Lord. However, at the same time as his victory, the Hero—never returned.

Four years after the Demon Lord's defeat, the now-peaceful kingdom undertakes a project to compile records of the late Hero's great deeds. To do this, they interview the Hero's former companions: Leon the Sword Saint, Maria the Holy Maiden, and Solon the Sage. As the companions share stories of their adventures, they all avoid discussing the true nature of the Hero's death.

The series is a fantasy-mystery that explores the question: ""Why did the Hero die?"". Was it the Demon King, or perhaps one of his own companions? The narrative is a suspenseful tale that weaves together fantasy and mystery, delving into the actions and conflicting emotions of the kingdom and its adventurers.

The series began as a web novel on Shōsetsuka ni Narō from February to September 2023, with the first light novel volume published by Kadokawa Shoten under their Sneaker Bunko imprint on September 29, 2023. It won first place in the New Works category and second in the Bunko category of Kono Light Novel ga Sugoi! 2025.";https://drive.google.com/file/d/1V97wTZovgpCKmcTfjGtnB4yY9a3qiRat/view?usp=drive_link
You Like Me, Don't You? So, Wanna Go Out with Me?;Kimitte Watashi no Koto Suki Nandesho?;きみって私のこと好きなんでしょ?;Kota Nozomi (望公太);"The story follows Kuroya, a gloomy high school student who believes his crush is way out of his league. His crush is Kasumi Shiramori, a beautiful and popular senior and the only other member of the literature club.

The story begins when Shiramori suddenly confronts him: ""Hey, Kuroya... you like me, don't you?"". Embarrassed and shocked that his secret is out, Kuroya is left speechless. But before he can process it, she follows up with an even more shocking proposition: ""So... wanna go out with me?"".

The light novel follows the sweet and wholesome romance of these two new lovebirds as they navigate their first relationship together. It deals with themes of self-worth, the weight of false compliments, and how one person can change everything.";https://drive.google.com/file/d/1CP_2ySBtI0-40TBpakyS0m0nwRxp1nJ9/view?usp=drive_link
